"dhs_id","site_id","site_name","rural_urban","country","country_id","continent_id","month_start","year_start","month_end","year_end","lower_age","upper_age","examined","positive","pr","species","method","rdt_type","pcr_type","malaria_metrics_available","location_available","permissions_info","citation1","citation2","citation3","coastline.dist","lon","lat"
NA,67292,"Keurmassen","RURAL","Mauritania","MRT","Africa",11,2011,12,2011,2,9,50,1,0.02,"P. falciparum","Microscopy",NA,NA,TRUE,TRUE,NA,"Ouldabdallahi Moukah, M, Ba, O, Ba, H, Ould Khairy, ML, Faye, O, Bogreau, H, Simard, F and Basco, LK (2016).  <b>Malaria in three epidemiological strata in Mauritania.</b> <i>Malaria Journal</i>, <b>15</b>(1):204",NA,NA,25.5877321529308,-16.23333,16.55
NA,67317,"Dar Naim and Teyarett districts","URBAN","Mauritania","MRT","Africa",11,2011,12,2011,2,9,228,1,0.004385965,"P. falciparum","Microscopy",NA,NA,TRUE,TRUE,NA,"Ouldabdallahi Moukah, M, Ba, O, Ba, H, Ould Khairy, ML, Faye, O, Bogreau, H, Simard, F and Basco, LK (2016).  <b>Malaria in three epidemiological strata in Mauritania.</b> <i>Malaria Journal</i>, <b>15</b>(1):204",NA,NA,8.94111123887435,-15.95,18.1
NA,5892,"Louga","UNKNOWN","Senegal","SEN","Africa",10,2007,10,2007,0,99,2138,644,0.301216089803555,"P. falciparum","Microscopy",NA,NA,TRUE,TRUE,NA," (2009). <i>Aspects épidémiologiques, parasitologiques et cliniques du paludisme à Louga (Sénégal) [MIM16760984].</i> In: Fifth MIM Pan-African Malaria Conference. Nairobi. 448.",NA,NA,35.7138552784608,-16.2480000081315,15.6170000033237
NA,12606,"Dakar Centre (12 clusters)","URBAN","Senegal","SEN","Africa",3,1996,2,1997,2,9,5365,75,0.0139794967381174,"P. falciparum","Microscopy",NA,NA,TRUE,TRUE,NA,"Diallo, S., Konate, L., Ndir, O., Dieng, T., Dieng, Y., Bah, I.B., Faye, O. and Gaye, O.(2000).  Malaria in the central health district of Dakar (Senegal). Entomological, parasitological and clinical data. Santé , 10(3):221-9",NA,NA,1.2332560678809,-17.4500000074052,14.7170000026708
NA,13946,"Ndiop","RURAL","Senegal","SEN","Africa",8,1997,8,1997,0,99,110,15,0.136363636363636,"P. falciparum","Microscopy",NA,NA,TRUE,TRUE,NA,"Tall, A., Sokhna, C., Perraut, R., Fontenille, D., Marrama, L., Ly, A.B., Sarr, F.D., Toure, A., Trape, J.F., Spiegel, A., Rogier, C. and Druilhe, P. (2009).  <b>Assessment of the relative success of sporozoite inoculations in individuals exposed to moderate seasonal transmission.</b> <i>Malaria Journal</i>, <b>8</b>():161",NA,NA,13.5505360629519,-16.3830000084932,13.6830000026072
NA,5903,"Potou","UNKNOWN","Senegal","SEN","Africa",1,2007,1,2007,0,12,73,11,0.150684931506849,"P. falciparum","Microscopy",NA,NA,TRUE,TRUE,NA," (2007). <i>Annual Report for Potou, Senegal, Millenium Village.  Year 1: February 2006 - February 2007.</i> . New York. United Nations Development Project. 1-31",NA,NA,6.03319097882063,-16.5063000078929,15.7209000032654
NA,13939,"Djilor","UNKNOWN","Senegal","SEN","Africa",5,1996,5,1996,0,10,116,0,0,"P. falciparum","Microscopy",NA,NA,TRUE,TRUE,NA,"Diop, A. (1998). <i>Épidémiologie du paludisme dans le delta du Saloum (Fatick, Sénégal) rôle d'<i>Anopheles melas</i> dans la transmission.</i> UNKNOWN. Université Cheikh Anta Diop de Dakar: Faculté des Sciences et Techniques. Dakar. .",NA,NA,0.503392998050972,-16.667000008175,14.1000000026894
NA,13939,"Djilor","UNKNOWN","Senegal","SEN","Africa",6,1997,6,1997,0,10,182,2,0.010989010989011,"P. falciparum","Microscopy",NA,NA,TRUE,TRUE,NA,"Diop, A. (1998). <i>Épidémiologie du paludisme dans le delta du Saloum (Fatick, Sénégal) rôle d'<i>Anopheles melas</i> dans la transmission.</i> UNKNOWN. Université Cheikh Anta Diop de Dakar: Faculté des Sciences et Techniques. Dakar. .",NA,NA,0.503392998050972,-16.667000008175,14.1000000026894
NA,13938,"Simal","UNKNOWN","Senegal","SEN","Africa",6,1997,6,1997,0,10,103,3,0.029126213592233,"P. falciparum","Microscopy",NA,NA,TRUE,TRUE,NA,"Diop, A. (1998). <i>Épidémiologie du paludisme dans le delta du Saloum (Fatick, Sénégal) rôle d'<i>Anopheles melas</i> dans la transmission.</i> UNKNOWN. Université Cheikh Anta Diop de Dakar: Faculté des Sciences et Techniques. Dakar. .",NA,NA,5.59106836090704,-16.6500000081777,14.1500000027123
NA,13940,"Mar Lothie","UNKNOWN","Senegal","SEN","Africa",6,1997,6,1997,0,10,100,2,0.02,"P. falciparum","Microscopy",NA,NA,TRUE,TRUE,NA,"Diop, A. (1998). <i>Épidémiologie du paludisme dans le delta du Saloum (Fatick, Sénégal) rôle d'<i>Anopheles melas</i> dans la transmission.</i> UNKNOWN. Université Cheikh Anta Diop de Dakar: Faculté des Sciences et Techniques. Dakar. .",NA,NA,1.58770785459205,-16.6850000081714,14.0500000026661
NA,13942,"Djifere","UNKNOWN","Senegal","SEN","Africa",6,1997,6,1997,0,10,90,6,0.0666666666666667,"P. falciparum","Microscopy",NA,NA,TRUE,TRUE,NA,"Diop, A. (1998). <i>Épidémiologie du paludisme dans le delta du Saloum (Fatick, Sénégal) rôle d'<i>Anopheles melas</i> dans la transmission.</i> UNKNOWN. Université Cheikh Anta Diop de Dakar: Faculté des Sciences et Techniques. Dakar. .",NA,NA,1.29498319725599,-16.7612300081359,13.929400002601
NA,13941,"Diakhanor","UNKNOWN","Senegal","SEN","Africa",5,1996,5,1996,0,10,94,0,0,"P. falciparum","Microscopy",NA,NA,TRUE,TRUE,NA,"Diop, A. (1998). <i>Épidémiologie du paludisme dans le delta du Saloum (Fatick, Sénégal) rôle d'<i>Anopheles melas</i> dans la transmission.</i> UNKNOWN. Université Cheikh Anta Diop de Dakar: Faculté des Sciences et Techniques. Dakar. .",NA,NA,1.1020515742447,-16.7670000081198,13.9830000026191
NA,13941,"Diakhanor","UNKNOWN","Senegal","SEN","Africa",9,1996,9,1996,0,10,100,4,0.04,"P. falciparum","Microscopy",NA,NA,TRUE,TRUE,NA,"Diop, A. (1998). <i>Épidémiologie du paludisme dans le delta du Saloum (Fatick, Sénégal) rôle d'<i>Anopheles melas</i> dans la transmission.</i> UNKNOWN. Université Cheikh Anta Diop de Dakar: Faculté des Sciences et Techniques. Dakar. .",NA,NA,1.1020515742447,-16.7670000081198,13.9830000026191
NA,13939,"Djilor","UNKNOWN","Senegal","SEN","Africa",9,1996,9,1996,0,10,114,1,0.0087719298245614,"P. falciparum","Microscopy",NA,NA,TRUE,TRUE,NA,"Diop, A. (1998). <i>Épidémiologie du paludisme dans le delta du Saloum (Fatick, Sénégal) rôle d'<i>Anopheles melas</i> dans la transmission.</i> UNKNOWN. Université Cheikh Anta Diop de Dakar: Faculté des Sciences et Techniques. Dakar. .",NA,NA,0.503392998050972,-16.667000008175,14.1000000026894
